Team	TeamId	HomeGoalsAve	AwayGoalsAve	HomeGoalsTotal	AwayGoalsTotal	HomeGoalsHalfAve	AwayGoalsHalfAve	HomeGoalsHalfTotal	AwayGoalsHalfTotal	HomeShotsAve	AwayShotsAve	HomeShotsTotal	AwayShotsTotal	HomeShotsOnTargetAve	AwayShotsOnTargetAve	HomeFirstHalfDifferentialAve	AwayFirstHalfDifferentialAve	HomeGameDifferentialAve	AwayGameDifferentialAve	HomeFirstToSecondHalfGoalRatioAve	AwayFirstToSecondHalfGoalRatioAve
Hatayspor	hatayspor	1.2	0.8181818181818182	66	45	0.5106382978723404	0.5625	24.0	27.0	11.680851063829786	10.1875	549.0	489.0	4.340425531914893	3.2916666666666665	-0.1276595744680851	-0.22916666666666666	-0.509090909090909	-1.2727272727272727	-0.19135802469135801	-0.06410256410256411
Alanyaspor	alanyaspor	1.5205479452054795	1.1216216216216217	111	83	0.6944444444444444	0.5342465753424658	50.0	39.0	12.23611111111111	10.561643835616438	881.0	771.0	4.236111111111111	3.452054794520548	0.2777777777777778	-0.2054794520547945	0.273972602739726	-0.5405405405405406	0.35714285714285715	-0.2714285714285714
Ad. Demirspor	ad._demirspor	1.690909090909091	1.290909090909091	93	71	0.8490566037735849	0.48148148148148145	45.0	26.0	14.452830188679245	12.62962962962963	766.0	682.0	5.39622641509434	4.574074074074074	0.018867924528301886	-0.2962962962962963	0.03636363636363636	-0.6545454545454545	-0.1722222222222222	-0.23655913978494622
Rizespor	rizespor	1.5454545454545454	1.1428571428571428	85	64	0.6545454545454545	0.42857142857142855	36.0	24.0	14.309090909090909	11.160714285714286	787.0	625.0	4.818181818181818	3.482142857142857	0.2727272727272727	-0.39285714285714285	0.36363636363636365	-0.75	0.24107142857142858	-0.27011494252873564
Gaziantep	gaziantep	1.1756756756756757	1.1643835616438356	87	85	0.5	0.6268656716417911	33.0	42.0	13.227272727272727	10.656716417910447	873.0	714.0	4.5606060606060606	3.9402985074626864	-0.15151515151515152	-0.08955223880597014	-0.25675675675675674	-0.6712328767123288	-0.17682926829268292	-0.12365591397849462
Bodrumspor	bodrumspor	0.8333333333333334	0.6111111111111112	15	11	0.3888888888888889	0.2777777777777778	7.0	5.0	12.38888888888889	9.833333333333334	223.0	177.0	3.7777777777777777	2.7777777777777777	-0.2222222222222222	-0.3888888888888889	-0.2222222222222222	-0.7222222222222222	-0.25	-0.8333333333333334
Genclerbirligi	genclerbirligi	1.4210526315789473	0.7222222222222222	27	13	0.6842105263157895	0.2777777777777778	13.0	5.0	12.473684210526315	9.166666666666666	237.0	165.0	4.315789473684211	2.5	0.0	-0.4444444444444444	0.05263157894736842	-0.5555555555555556	-0.3181818181818182	-0.4166666666666667
Giresunspor	giresunspor	1.3888888888888888	0.9444444444444444	25	17	0.35294117647058826	0.35294117647058826	6.0	6.0	14.176470588235293	9.588235294117647	241.0	163.0	4.588235294117647	3.588235294117647	-0.5882352941176471	-0.4117647058823529	-0.2222222222222222	-0.7777777777777778	-0.5	-0.21428571428571427
Antalyaspor	antalyaspor	1.3611111111111112	0.8611111111111112	98	62	0.6619718309859155	0.4027777777777778	47.0	29.0	12.549295774647888	9.875	891.0	711.0	4.690140845070423	3.0	0.09859154929577464	-0.4722222222222222	-0.013888888888888888	-0.8333333333333334	-0.11274509803921569	-0.5576923076923077
Corum	corum	0.0	2.0	0	4	0.0	0.0	0.0	0.0	16.0	9.5	16.0	19.0	2.0	3.0	-1.0	-1.0	-1.0	-2.0		-0.5
Fenerbahce	fenerbahce	2.671232876712329	2.22972972972973	195	165	1.1388888888888888	0.9726027397260274	82.0	71.0	18.430555555555557	14.876712328767123	1327.0	1086.0	7.152777777777778	5.931506849315069	0.6666666666666666	0.5616438356164384	1.5342465753424657	1.2837837837837838	0.4517543859649123	0.38576388888888885
Kasimpasa	kasimpasa	1.5068493150684932	1.2837837837837838	110	95	0.6986301369863014	0.4520547945205479	51.0	33.0	13.917808219178083	10.520547945205479	1016.0	768.0	4.794520547945205	3.410958904109589	-0.0273972602739726	-0.3698630136986301	-0.1232876712328767	-0.35135135135135137	0.03174603174603175	-0.32432432432432434
Kocaelispor	kocaelispor	0.9444444444444444	0.6842105263157895	17	13	0.4444444444444444	0.21052631578947367	8.0	4.0	11.88888888888889	8.578947368421053	214.0	163.0	3.388888888888889	2.5789473684210527	0.16666666666666666	-0.3684210526315789	0.2222222222222222	-0.7894736842105263	0.07142857142857142	-0.5
Besiktas	besiktas	1.9054054054054055	1.5616438356164384	141	114	0.9305555555555556	0.7671232876712328	67.0	56.0	16.819444444444443	12.493150684931507	1211.0	912.0	6.152777777777778	4.465753424657534	0.4861111111111111	0.2328767123287671	0.8513513513513513	0.410958904109589	0.2916666666666667	0.23373983739837395
Istanbulspor	istanbulspor	1.027027027027027	0.972972972972973	38	36	0.4722222222222222	0.22857142857142856	17.0	8.0	10.055555555555555	9.771428571428572	362.0	342.0	4.0	3.4285714285714284	-0.3888888888888889	-0.6285714285714286	-0.8648648648648649	-1.0	-0.2604166666666667	-0.5238095238095238
Umraniyespor	umraniyespor	1.2222222222222223	1.3888888888888888	22	25	0.47058823529411764	0.5882352941176471	8.0	10.0	12.352941176470589	11.882352941176471	210.0	202.0	3.9411764705882355	4.176470588235294	-0.17647058823529413	-0.4117647058823529	-0.3888888888888889	-0.5555555555555556	0.125	-0.35
Galatasaray	galatasaray	2.554054054054054	2.232876712328767	189	163	1.2465753424657535	0.9436619718309859	91.0	67.0	20.356164383561644	16.056338028169016	1486.0	1140.0	7.465753424657534	5.859154929577465	0.9041095890410958	0.6619718309859155	1.7027027027027026	1.4794520547945205	0.6205357142857143	0.4322916666666667
Trabzonspor	trabzonspor	2.0136986301369864	1.472972972972973	147	109	0.8493150684931506	0.6666666666666666	62.0	48.0	16.232876712328768	12.347222222222221	1185.0	889.0	5.63013698630137	4.305555555555555	0.3013698630136986	-0.013888888888888888	0.9315068493150684	-0.05405405405405406	0.2534013605442177	-0.059829059829059825
Samsunspor	samsunspor	1.5178571428571428	1.1454545454545455	85	63	0.6071428571428571	0.38181818181818183	34.0	21.0	13.75	10.672727272727272	770.0	587.0	4.696428571428571	3.5636363636363635	0.10714285714285714	-0.4	0.44642857142857145	-0.36363636363636365	0.08333333333333334	-0.38611111111111107
Sivasspor	sivasspor	1.3818181818181818	1.1090909090909091	76	61	0.6181818181818182	0.5	34.0	27.0	12.636363636363637	9.703703703703704	695.0	524.0	4.581818181818182	3.6296296296296298	-0.03636363636363636	-0.5185185185185185	0.23636363636363636	-0.8	-0.20689655172413793	-0.3263888888888889
Konyaspor	konyaspor	1.2027027027027026	1.2465753424657535	89	91	0.527027027027027	0.5492957746478874	39.0	39.0	12.594594594594595	11.014084507042254	932.0	782.0	3.9594594594594597	3.915492957746479	0.13513513513513514	-0.2676056338028169	0.0945945945945946	-0.3835616438356164	-0.12380952380952383	-0.35185185185185186
Goztep	goztep	1.6666666666666667	1.2432432432432432	60	46	0.7777777777777778	0.6486486486486487	28.0	24.0	16.63888888888889	13.216216216216216	599.0	489.0	5.75	4.216216216216216	0.5	-0.02702702702702703	0.8055555555555556	-0.32432432432432434	0.42045454545454547	0.0
Pendikspor	pendikspor	1.1578947368421053	1.0526315789473684	22	20	0.42105263157894735	0.5263157894736842	8.0	10.0	11.31578947368421	11.526315789473685	215.0	219.0	3.5789473684210527	4.157894736842105	-0.3157894736842105	-0.3157894736842105	-0.5789473684210527	-1.0526315789473684	-0.3666666666666667	-0.42857142857142855
Karagumruk	karagumruk	1.7037037037037037	1.1666666666666667	92	63	0.8148148148148148	0.5	44.0	26.0	10.944444444444445	11.173076923076923	591.0	581.0	4.388888888888889	3.576923076923077	0.2962962962962963	-0.36538461538461536	0.35185185185185186	-0.6111111111111112	0.2222222222222222	-0.34782608695652173
Amedspor	amedspor	2.5	0.0	5	0	0.5	0.0	1.0	0.0	15.0	12.0	30.0	12.0	6.0	1.0	0.0	-1.0	2.0	-2.0	0.0	
Ankaragucu	ankaragucu	1.2162162162162162	1.1891891891891893	45	44	0.4864864864864865	0.4166666666666667	18.0	15.0	12.783783783783784	10.472222222222221	473.0	377.0	4.54054054054054	3.5277777777777777	-0.13513513513513514	-0.2222222222222222	-0.02702702702702703	-0.40540540540540543	0.0	-0.20454545454545456
Erzurumspor	erzurumspor	0.0	0.5	0	1	0.0	0.0	0.0	0.0	12.0	7.0	12.0	14.0	4.0	2.5	-3.0	0.0	-4.0	-1.5		0.0
Eyupspor	eyupspor	1.4594594594594594	0.9166666666666666	54	33	0.5675675675675675	0.5	21.0	18.0	11.18918918918919	9.38888888888889	414.0	338.0	4.594594594594595	3.0	0.10810810810810811	0.1111111111111111	0.21621621621621623	-0.5277777777777778	0.13095238095238096	0.12820512820512822
Kayserispor	kayserispor	1.3333333333333333	1.0416666666666667	96	75	0.4857142857142857	0.4444444444444444	34.0	32.0	13.385714285714286	10.166666666666666	937.0	732.0	4.414285714285715	3.5555555555555554	-0.2571428571428571	-0.3333333333333333	-0.09722222222222222	-0.8194444444444444	-0.1625	0.06372549019607844
Buyuksehyr	buyuksehyr	1.7702702702702702	1.3972602739726028	131	102	0.8055555555555556	0.6027397260273972	58.0	44.0	12.819444444444445	11.493150684931507	923.0	839.0	4.75	4.287671232876712	0.3194444444444444	0.0136986301369863	0.7297297297297297	0.0684931506849315	0.20643939393939392	0.04504504504504505
