Feature,Importance,Std
away_shots_for_ewm10,0.03508771929824563,0.007360062092422112
home_shots_for_ewm10,0.030175438596491234,0.007225003607710175
away_rest_days,0.02105263157894739,0.007360062092422117
away_goal_diff_l10,0.01824561403508773,0.0201441404833787
away_shot_quality_ewm10,0.01824561403508772,0.007492686492653544
home_points_l5,0.014035087719298256,0.008001231053327285
home_shots_against_ewm10,0.009122807017543888,0.010072070241689346
home_clean_sheet_l10,0.00842105263157895,0.009041472790684305
away_clean_sheet_l10,0.0049122807017543905,0.005701079582200674
away_points_l5,0.0035087719298245723,0.01064263220217762
home_goals_against_l5,0.00280701754385968,0.008123394317747525
away_shots_against_ewm10,0.002807017543859669,0.013571283933904351
home_rest_days,0.002807017543859658,0.007492686492653544
home_goal_diff_l10,0.0021052631578947546,0.007877173445839884
away_goals_against_l5,0.0021052631578947546,0.010549681669033632
home_history_n,0.00140350877192984,0.005701079582200674
SKBH,0.0,0.0
PPA,0.0,0.0
AxG,0.0,0.0
HxG,0.0,0.0
PPD,0.0,0.0
PPH,0.0,0.0
home_goals_for_l5,0.0,0.0022191422176620276
SKBA,0.0,0.0
PPCH,0.0,0.0
PPCD,0.0,0.0
PPCA,0.0,0.0
SKBCH,0.0,0.0
SKBCD,0.0,0.0
SKBCA,0.0,0.0
SKBD,0.0,0.0
HomeTeamPointsLast5,0.0,0.0
HomeRestDays,0.0,0.0
AwayTeamPointsLast5,0.0,0.0
AwayRestDays,0.0,0.0
home_shot_quality_ewm10,-0.0028070175438596467,0.010502897927786515
away_goals_for_l5,-0.009122807017543855,0.008764909471436353
away_history_n,-0.010526315789473661,0.004438284435324054
