Feature,Mean_SHAP
Home_Poisson_0_Goals_Avg_L5,0.2715826
HomexG_Avg_L5,0.25319478
HomeShootingEff_Avg_L5,0.23635817
PointsPerGameDiff,0.20340101
Away_Poisson_xPTS_Avg_L5,0.16812086
AwayPointsPerGame,0.15107512
AwayGoalDiff_Avg_L5,0.14958073
HomeRestDays,0.14135797
Home_Poisson_2_3_Goals_Avg_L5,0.13769425
AwayMomentum_L3,0.13720627
HomeGoalDiff_Avg_L5,0.13388722
Home_Poisson_xPTS_Avg_L5,0.11693477
AwayRestDays,0.1142801
HomePointsPerGame,0.11202004
AwayShootingEff_Avg_L5,0.109196365
AwayCleanSheetPct_L10,0.10702637
Away_Poisson_2_3_Goals_Avg_L5,0.10606217
Away_Poisson_0_Goals_Avg_L5,0.10361662
AwayDefVsHomeAttack,0.10225057
Away_Poisson_1_Goal_Avg_L5,0.09737452
HomeGoalDiffSeason,0.08750991
Home_Poisson_4Plus_Goals_Avg_L5,0.08625418
Away_Poisson_4Plus_Goals_Avg_L5,0.08248266
HomeDefVsAwayAttack,0.08197642
AwayFailedToScorePct_L10,0.075341076
AwayGoalDiffSeason,0.07451347
Home_Poisson_1_Goal_Avg_L5,0.06610631
AwayxG_Avg_L5,0.06577232
HomeCleanSheetPct_L10,0.065465055
AwayTeamPointsLast5,0.055662382
HomeMomentum_L3,0.055421006
HomeFailedToScorePct_L10,0.053902954
HomeH2HWinLast5,0.05374806
HomeTeamPointsLast5,0.05078131
VenueAdjustedFormDiff,0.049699318
AwayWinStreakAway_L5,0.04048324
H2HDrawLast5,0.037621405
AwayH2HWinLast5,0.034768354
HomeWinStreakHome_L5,0.017796697
HomeTeamPointsLast5_HomeOnly,0.00960467
SKBA,0.0
PPCA,0.0
PPCH,0.0
SKBCD,0.0
SKBCH,0.0
PPCD,0.0
SKBD,0.0
PPD,0.0
HxG,0.0
AxG,0.0
PPH,0.0
SKBH,0.0
PPA,0.0
SKBCA,0.0
AwayTeamPointsLast5_AwayOnly,0.0
